true,hybrid,strata
50000.0,735225.6016623235,Q3
14.0,1482561.282168028,Q1
10000.0,741199.5241749217,Q3
2400000.0,19784037.208368685,Q1
1204739.0,12944352.30557867,Q4
2505528.0,3569949.4757964667,Q4
400000.0,3524763.2364134304,Q3
30000000.0,9504879.978610823,Q2
16657800.0,15578481.91036728,Q5
3745000.0,2953384.0203175284,Q4
27814.0,1865581.0893487225,Q3
500000.0,3212633.340451598,Q3
10000.0,5865162.927136969,Q3
9600000.0,20807201.599715024,Q5
138.0,6264352.614185329,Q1
1.0,4720211.394030874,Q1
1303459585.0,1016544578.240665,Q5
400.0,883802.1622494175,Q3
3.0,87896818.78555198,Q1
160188546.0,35820236.12259805,Q2
500000.0,3051283.0033926703,Q4
34000000.0,15251682.594950674,Q5
182710.0,4407844.927569224,Q4
4372130.0,24821745.781677194,Q1
2.0,3249576.508339335,Q2
4850.0,758344.5545265995,Q3
4472886.0,4149528.2823206848,Q4
687505.0,13821670.943502814,Q1
100000.0,733451.3176993488,Q3
11303040.0,14305752.384817015,Q4
179780.0,8384023.139083489,Q1
962119864.0,574599189.5242201,Q5
3423685.0,3371980.452003388,Q4
21.0,3401624.069865288,Q2
66265218.0,37845677.67383529,Q2
11000.0,758909.494691196,Q3
1.0,1494026.029726741,Q1
1136883.0,3077389.877728866,Q2
59000.0,8495824.129932486,Q1
2500000.0,4823011.133019294,Q3
490000.0,3220266.661392932,Q4
887613.0,2949463.941868839,Q4
12000000.0,8455981.224459697,Q2
1431461.0,9297681.64294603,Q5
200.0,542524.5031086096,Q2
26877589.0,25989462.43684405,Q5
133818283.0,28984290.308968533,Q2
200.0,542527.2936955483,Q2
6300000.0,3691496.3445416433,Q4
3100000.0,3772470.7200221214,Q2
10000000.0,12634464.247565169,Q5
5000.0,758693.0764688989,Q3
26622.0,1966161.223678938,Q3
94216343.0,44964425.31020972,Q5
197621.0,8475546.336296503,Q2
14000.0,759019.0324688343,Q3
1.0,1817894.8526672088,Q1
100000.0,774127.570154986,Q3
100000.0,777107.4281246423,Q3
5600000.0,3286042.1436588224,Q4
1332459537.0,1081261633.388814,Q5
5000.0,758416.6401496088,Q3
4000000.0,8467322.27918195,Q4
